number of parts,part,link,price
1,ESP32 C3 super mini,https://www.aliexpress.com/i/3256805133649154.html?gatewayAdapt=4itemAdapt,1$
4,12x12 mm tactile push button switch,https://www.aliexpress.us/item/3256812123992270.html?spm=a2g0o.productlist.main.11.21566362SzAA0F&algo_pvid=50c1fda6-8f8a-4d9b-aa4e-97e087856e19&algo_exp_id=50c1fda6-8f8a-4d9b-aa4e-97e087856e19-10&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.49%212.08%21%21%2136.95%2114.00%21%402141122217814553706214691eff03%2112000058063968506%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A18fdee69%3Bm03_new_user%3A-29895%3BpisId%3A5000000208023469&curPageLogUid=gFDebLKydCqQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012310307022%7C_p_origin_prod%3A&_gl=1*pnb9vw*_gcl_aw*R0NMLjE3ODE0MjcyMjkuQ2owS0NRandvcm5SQmhDckFSSXNBT041ZXhHMG5KOW9FcWpOOHZrTlFiekptekxjRl90T3BKQm55VmFWSktnZndVZlVnb0FWWGFiTHljVWFBaDR3RUFMd193Y0I.*_gcl_au*MjA1Mzc2Nzk0OC4xNzc5Nzk2NTAx*_ga*MzQ3MzY0NzE5LjE3Nzk3OTY1MDE.*_ga_VED1YSGNC7*czE3ODE0NTUzNzUkbzkkZzAkdDE3ODE0NTUzNzUkajYwJGwwJGgw,0.13$
1,AA Battery Holder Enclosures,https://www.aliexpress.us/item/3256802150430323.html?spm=a2g0o.productlist.main.1.46314a39hNWMpA&algo_pvid=b27380b2-4e87-40ab-a0d5-da4ba22fffd9&algo_exp_id=b27380b2-4e87-40ab-a0d5-da4ba22fffd9-0&pdp_ext_f=%7B%22order%22%3A%221583%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.43%210.86%21%21%211.43%210.86%21%40213ba8cc17811940061264831eab0e%2112000020155944453%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A18fdee69%3Bm03_new_user%3A-29895&curPageLogUid=IUHm0nbRxOM3&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002336745075%7C_p_origin_prod%3A&_gl=1*8mbl24*_gcl_au*MjA1Mzc2Nzk0OC4xNzc5Nzk2NTAx*_ga*MzQ3MzY0NzE5LjE3Nzk3OTY1MDE.*_ga_VED1YSGNC7*czE3ODExOTM2MzYkbzckZzEkdDE3ODExOTQwMDYkajIwJGwwJGgw,1.43$
1,Jumper Wires,https://www.aliexpress.us/item/3256810062711054.html?spm=a2g0o.productlist.main.17.49e350b8j8KvAS&algo_pvid=d6feb1b5-a38d-403f-857f-b16e6db432bf&algo_exp_id=d6feb1b5-a38d-403f-857f-b16e6db432bf-16&pdp_ext_f=%7B%22order%22%3A%221172%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.50%210.99%21%21%212.50%210.99%21%40214100f417811941409597287e9b49%2112000051674774613%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A18fdee69%3Bm03_new_user%3A-29895%3BpisId%3A5000000207262936&curPageLogUid=N9leTiRH1nE8&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010249025806%7C_p_origin_prod%3A&_gl=1*gv0kjr*_gcl_au*MjA1Mzc2Nzk0OC4xNzc5Nzk2NTAx*_ga*MzQ3MzY0NzE5LjE3Nzk3OTY1MDE.*_ga_VED1YSGNC7*czE3ODExOTM2MzYkbzckZzEkdDE3ODExOTQxNTQkajQ5JGwwJGgw,5.15$
1,shoulder strap,https://www.aliexpress.us/item/3256808539855577.html?spm=a2g0o.productlist.main.20.bd806b38XMH7IY&algo_pvid=a9d36ec2-4ce6-468b-a2ff-f7085f65b49c&algo_exp_id=a9d36ec2-4ce6-468b-a2ff-f7085f65b49c-19&pdp_ext_f=%7B%22order%22%3A%2226%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.69%211.34%21%21%2124.86%219.06%21%400b1bf20a17814272454184029e828b%2112000046410841514%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A18fdee69%3Bm03_new_user%3A-29895%3BpisId%3A5000000208023469&curPageLogUid=sXV5ubDwwOI5&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008726170329%7C_p_origin_prod%3A&_gl=1*luwjhp*_gcl_aw*R0NMLjE3ODE0MjcyMjkuQ2owS0NRandvcm5SQmhDckFSSXNBT041ZXhHMG5KOW9FcWpOOHZrTlFiekptekxjRl90T3BKQm55VmFWSktnZndVZlVnb0FWWGFiTHljVWFBaDR3RUFMd193Y0I.*_gcl_au*MjA1Mzc2Nzk0OC4xNzc5Nzk2NTAx*_ga*MzQ3MzY0NzE5LjE3Nzk3OTY1MDE.*_ga_VED1YSGNC7*czE3ODE0MjcyMjkkbzgkZzEkdDE3ODE0MjcyNDckajQyJGwwJGgw,3.69$
4,150k resisor,https://www.aliexpress.us/item/3256803438614958.html?spm=a2g0o.productlist.main.29.195e71abwe9Z0F&algo_pvid=05eb5bd0-e0d7-4ad1-926a-147e82567245&algo_exp_id=05eb5bd0-e0d7-4ad1-926a-147e82567245-28&pdp_ext_f=%7B%22order%22%3A%22762%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.53%210.37%21%21%213.54%212.48%21%40212e520f17814566835365219eea6b%2112000026547201393%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A18fdee69%3Bm03_new_user%3A-29895&curPageLogUid=3MhSJeoWeWLi&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003624929710%7C_p_origin_prod%3A&_gl=1*1ls1g92*_gcl_aw*R0NMLjE3ODE0MjcyMjkuQ2owS0NRandvcm5SQmhDckFSSXNBT041ZXhHMG5KOW9FcWpOOHZrTlFiekptekxjRl90T3BKQm55VmFWSktnZndVZlVnb0FWWGFiTHljVWFBaDR3RUFMd193Y0I.*_gcl_au*MjA1Mzc2Nzk0OC4xNzc5Nzk2NTAx*_ga*MzQ3MzY0NzE5LjE3Nzk3OTY1MDE.*_ga_VED1YSGNC7*czE3ODE0NTUzNzUkbzkkZzEkdDE3ODE0NTY2OTUkajUzJGwwJGgw,0.77$
,total,,8.1$
